"LOCATION","Country","SUBJECT","Subject","SECTOR","Sector","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1989","1989",0.7034944,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1990","1990",0.69883,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1991","1991",0.7153431,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1992","1992",0.7259967,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1993","1993",0.7279692,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1994","1994",0.717432,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1995","1995",0.7173341,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1996","1996",0.7150173,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1997","1997",0.7055514,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1998","1998",0.704651,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1999","1999",0.7121108,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2000","2000",0.7203009,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2001","2001",0.7132291,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2002","2002",0.706165,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2003","2003",0.7057296,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2004","2004",0.6932477,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2005","2005",0.6837588,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2006","2006",0.6657465,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2007","2007",0.6524676,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2008","2008",0.6622763,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2009","2009",0.6986528,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2010","2010",0.6781073,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2011","2011",0.6764504,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2012","2012",0.6851183,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.6993859,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.7186657,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.7247979,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.7272332,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.7296753,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.7399029,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.7309491,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.739841,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.7385047,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.7467612,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.7753211,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.7871765,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.7758327,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.7605132,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.7591472,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.742502,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.7319801,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.7622914,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.749789,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.7458016,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.7529692,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.7612836,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.7920303,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.8200358,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.8026068,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.8086085,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.8104916,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.7885105,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.7760951,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.78113,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.7792308,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.7803676,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.778597,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.7686092,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.7442072,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.7267571,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.7007727,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2007","2007",0.675285,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2008","2008",0.7171034,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2009","2009",0.8386031,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2010","2010",0.7545226,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.6704932,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.6888131,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.697169,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.7024971,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.7022943,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.7089344,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.7011404,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.7153921,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.7142882,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.7269996,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.7543072,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.7630606,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.747737,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.7302663,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.7284355,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.7143074,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.707894,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.7348881,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.72668,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.7240238,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.732263,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.7415682,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.772212,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.7946914,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.7778927,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.7791388,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.7787406,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.7599903,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.7475987,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.7541158,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.7614805,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.762741,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.7548366,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.7474676,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.7142141,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.6965516,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.6713704,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2007","2007",0.6455595,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2008","2008",0.673932,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2009","2009",0.7711608,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2010","2010",0.7010821,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.7364161,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.735764,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.7752544,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.8065355,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.8388547,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.8697589,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.8582186,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.8404514,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.8164687,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.7896952,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.7932257,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.7957982,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.8376907,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.819136,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.8398294,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.8216172,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.8144624,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.8060266,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.8070634,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.7968364,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.7856827,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.7896898,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.7572711,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.7824268,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.7836276,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.8030198,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.838191,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.8377423,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.84424,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.840024,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.8570321,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.8607947,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.8513047,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.8593713,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.8576463,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.864293,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.8448117,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2007","2007",0.8207095,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2008","2008",0.8002967,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2009","2009",0.7900715,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2010","2010",0.7973665,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.7726464,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.7829685,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.7955786,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.8278829,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.8587345,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.8462484,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.8422555,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.8195861,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.8188121,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.825861,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.8555239,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.8727646,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.8720877,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.8621694,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.8459954,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.8475183,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.8528464,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.8576226,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.8687999,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.854115,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.835908,"E","Estimated value"
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.8327621,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.8711447,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.880594,,
"DEU","Germany","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.8545936,,
